aeid,target_id
727,410
728,411
729,412
730,413
731,414
732,415
733,416
734,417
735,418
736,419
737,420
738,421
739,123
740,123
740,422
741,123
741,422
742,40
743,40
744,40
744,423
745,40
745,423
746,423
747,423
750,40
751,40
753,62
753,424
754,62
754,424
755,425
755,134
756,425
756,134
757,89
757,426
758,89
758,426
759,124
760,124
761,123
762,123
1202,124
1203,124
764,123
765,123
767,173
781,427
783,41
784,41
785,40
786,40
1189,41
1190,41
788,40
789,40
791,55
792,55
793,54
794,54
1193,55
1194,55
800,92
801,92
802,89
803,428
803,138
804,428
804,138
806,7
1108,79
1109,79
1110,78
1111,61
1112,61
1113,60
1114,82
1115,82
1116,5
1117,63
1118,63
1119,62
1120,62
1191,63
1192,63
1122,91
1123,91
1124,88
1125,88
1196,91
1197,91
1127,89
1198,92
1199,92
1129,429
1130,429
1131,430
1132,430
1200,429
1201,429
1137,431
1138,431
1141,82
1142,82
1153,431
1154,431
1157,82
1158,82
1169,431
1170,431
1173,82
1174,82
1611,432
1612,433
1613,434
1614,435
1615,436
1616,437
1617,438
1618,439
1619,440
1620,441
1621,442
1622,443
1623,444
1624,445
1625,446
1626,447
1627,432
1628,433
1629,434
1630,435
1631,436
1632,437
1633,438
1634,439
1635,440
1636,441
1637,442
1638,443
1639,444
1640,445
1641,446
1642,447
1643,432
1644,433
1645,434
1646,435
1647,436
1648,437
1649,438
1650,439
1651,440
1652,441
1653,442
1654,443
1655,444
1656,445
1657,446
1658,447
1315,82
1316,82
1317,5
1319,82
1320,82
1321,5
1323,82
1324,82
1325,5
1327,82
1328,82
1329,5
1340,448
1341,448
1342,449
1344,73
1345,73
1346,72
1348,450
1462,451
1349,452
1430,453
1350,454
1408,455
1351,456
1468,457
1352,458
1442,459
1353,460
1479,461
1354,462
1436,463
1355,464
1421,465
1356,466
1446,467
1357,468
1407,469
1358,470
1459,471
1359,472
1502,473
1360,474
1411,475
1361,476
1480,477
1362,95
1481,98
1363,407
1473,478
1364,479
1487,480
1365,481
1488,482
1366,483
1489,484
1367,423
1418,485
1368,486
1500,487
1369,428
1499,488
1370,489
1415,490
1371,491
1501,492
1508,493
1510,494
1824,495
1848,494
